,hyperlink,postcode,Province,Region,house_is,property_subtype,price,rooms_number,area,kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,land_plot_surface,facades_number,swimming_pool_has,building_state
0,5750433,1180,Brussels,Brussels Capital,1,VILLA,2750000.0,7,4,True,False,False,True,0.0,False,0.0,2600.0,2600.0,0.0,False,AS_NEW
1,6123397,1190,Brussels,Brussels Capital,1,HOUSE,1325000.0,6,4,False,,,,,,,,800.0,3.0,,
2,6532849,1150,Brussels,Brussels Capital,1,VILLA,3800000.0,7,-1,True,False,False,True,80.0,False,0.0,1367.0,1367.0,0.0,False,AS_NEW
3,6763920,1080,Brussels,Brussels Capital,0,PENTHOUSE,299000.0,2,135,False,False,False,True,11.0,False,0.0,0.0,135.0,0.0,False,AS_NEW
4,6768678,1180,Brussels,Brussels Capital,1,VILLA,2350000.0,5,5,True,False,False,True,0.0,False,0.0,1530.0,1530.0,0.0,False,AS_NEW
5,6809328,1050,Brussels,Brussels Capital,0,APARTMENT,895000.0,2,1,True,False,False,False,0.0,False,0.0,0.0,140.0,0.0,False,AS_NEW
6,6896271,1210,Brussels,Brussels Capital,1,APARTMENT_BLOCK,359999.0,6,7,False,False,False,False,0.0,False,0.0,59.0,59.0,0.0,False,JUST_RENOVATED
7,7093420,1180,Brussels,Brussels Capital,1,EXCEPTIONAL_PROPERTY,3400000.0,5,487,True,,,,,,,,0.0,3.0,,AS_NEW
8,7288442,1000,Brussels,Brussels Capital,1,MIXED_USE_BUILDING,6000000.0,0,-1,True,False,False,False,0.0,False,0.0,0.0,5100.0,0.0,False,
9,7339486,1050,Brussels,Brussels Capital,0,PENTHOUSE,2950000.0,3,462,True,False,False,True,100.0,False,0.0,0.0,462.0,0.0,True,AS_NEW
10,7383345,1150,Brussels,Brussels Capital,1,EXCEPTIONAL_PROPERTY,3800000.0,7,-1,True,False,False,True,2.0,False,0.0,1390.0,1390.0,0.0,True,AS_NEW
11,7386158,1160,Brussels,Brussels Capital,1,TOWN_HOUSE,410000.0,3,145,False,False,False,True,0.0,True,210.0,275.0,50.0,0.0,False,GOOD
12,7503606,1000,Brussels,Brussels Capital,0,APARTMENT,420000.0,3,5,True,False,False,True,7.0,False,0.0,0.0,5.0,0.0,False,AS_NEW
13,7531742,1050,Brussels,Brussels Capital,1,HOUSE,1050000.0,4,-1,False,False,False,True,0.0,False,0.0,280.0,280.0,0.0,False,TO_RESTORE
14,7555676,1050,Brussels,Brussels Capital,1,MIXED_USE_BUILDING,1900000.0,0,5,False,False,False,False,0.0,False,0.0,220.0,220.0,0.0,False,GOOD
15,7593579,1180,Brussels,Brussels Capital,0,DUPLEX,1875000.0,8,4,False,False,True,True,0.0,False,0.0,0.0,490.0,0.0,False,AS_NEW
16,7653835,1190,Brussels,Brussels Capital,1,MANSION,1350000.0,5,595,True,False,False,True,35.0,True,300.0,256.0,256.0,0.0,False,TO_RENOVATE
17,7653844,1180,Brussels,Brussels Capital,0,APARTMENT,3900000.0,5,8,True,False,False,True,150.0,True,400.0,0.0,850.0,0.0,True,AS_NEW
18,7653868,1180,Brussels,Brussels Capital,1,VILLA,2350000.0,4,4,True,False,False,True,50.0,True,2500.0,3100.0,3100.0,0.0,False,GOOD
19,7685621,1180,Brussels,Brussels Capital,0,GROUND_FLOOR,690000.0,3,1,False,False,True,True,19.0,False,0.0,0.0,190.0,0.0,False,AS_NEW
20,7698119,1200,Brussels,Brussels Capital,0,APARTMENT,598000.0,3,138,True,False,False,True,12.0,False,0.0,0.0,138.0,0.0,False,GOOD
21,7701432,1070,Brussels,Brussels Capital,1,MIXED_USE_BUILDING,5000000.0,41,49,True,False,False,True,70.0,True,198.0,1988.0,1988.0,0.0,False,AS_NEW
