hyperlink;postcode;Province;Region;house_is;property_subtype;price;rooms_number;area;kitchen_has;furnished;open_fire;terrace;terrace_area;garden;garden_area;land_surface;land_plot_surface;facades_number;swimming_pool_has;building_state
3816754;2000;Anvers;Flandre;0;APARTMENT;1350000.0;2;2;FALSE;FALSE;TRUE;FALSE;0.0;FALSE;0.0;0.0;240.0;0.0;FALSE;AS_NEW
3880650;9450;Flandre Orientale;Flandre;0;APARTMENT;302950.0;3;142;FALSE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;0.0;142.0;0.0;FALSE;
4045224;8660;Fland Occidentale;Flandre;1;HOUSE;1450000.0;2;1;TRUE;TRUE;FALSE;TRUE;40.0;TRUE;200.0;165.0;80.0;0.0;TRUE;JUST_RENOVATED
4611027;1060;Bruxelles;Bruxelles;0;DUPLEX;895000.0;3;-1;TRUE;FALSE;FALSE;TRUE;11.0;FALSE;0.0;0.0;200.0;0.0;FALSE;AS_NEW
4724307;8670;Fland Occidentale;Flandre;1;HOUSE;209000.0;2;-1;TRUE;FALSE;FALSE;TRUE;10.0;FALSE;0.0;0.0;80.0;0.0;FALSE;AS_NEW
5321232;4920;Liege;Wallonie;1;HOUSE;80000.0;4;3;FALSE;FALSE;FALSE;TRUE;0.0;FALSE;0.0;218.0;218.0;0.0;FALSE;TO_RESTORE
5582833;9900;Flandre Orientale;Flandre;0;APARTMENT;329950.0;3;1;TRUE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;0.0;160.0;0.0;FALSE;
5650273;3650;Limbourg;Flandre;1;APARTMENT_BLOCK;535000.0;6;-1;TRUE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;0.0;0.0;0.0;FALSE;
5665553;8300;Fland Occidentale;Flandre;0;APARTMENT;995000.0;2;143;TRUE;FALSE;FALSE;TRUE;0.0;FALSE;0.0;0.0;143.0;0.0;FALSE;AS_NEW
5669949;8300;Fland Occidentale;Flandre;0;APARTMENT;975000.0;3;132;FALSE;FALSE;FALSE;TRUE;0.0;FALSE;0.0;0.0;132.0;0.0;FALSE;NOT_SPECIFIED
5734203;8800;Fland Occidentale;Flandre;1;HOUSE;180000.0;1;-1;FALSE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;0.0;0.0;0.0;FALSE;NOT_SPECIFIED
5750433;1180;Bruxelles;Flandre;1;VILLA;2750000.0;7;4;TRUE;FALSE;FALSE;TRUE;0.0;FALSE;0.0;2600.0;2600.0;0.0;FALSE;AS_NEW
5788023;1332;Brabant Wallon;Wallonie;1;VILLA;1650000.0;3;-1;TRUE;FALSE;FALSE;TRUE;180.0;FALSE;0.0;7190.0;7190.0;0.0;TRUE;GOOD
5947334;8370;Fland Occidentale;Flandre;0;APARTMENT;130000.0;1;-1;FALSE;FALSE;FALSE;TRUE;0.0;FALSE;0.0;0.0;0.0;0.0;FALSE;NOT_SPECIFIED
6038710;6880;Luxembourg;Wallonie;1;APARTMENT_BLOCK;130000.0;4;133;TRUE;FALSE;FALSE;TRUE;0.0;FALSE;0.0;195.0;195.0;0.0;FALSE;
6110968;4140;Liege;Wallonie;1;APARTMENT_BLOCK;1562000.0;11;4;TRUE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;594.0;31.0;0.0;FALSE;AS_NEW
6121266;8300;Fland Occidentale;Flandre;0;DUPLEX;760000.0;3;5;FALSE;FALSE;FALSE;TRUE;16.0;FALSE;0.0;0.0;105.0;0.0;FALSE;GOOD
6123397;1190;Bruxelles;Bruxelles;1;HOUSE;1325000.0;6;4;FALSE;;;;;;;;800.0;3.0;;
6229627;2900;Anvers;Flandre;0;APARTMENT;204000.0;2;87;FALSE;FALSE;FALSE;TRUE;0.0;FALSE;0.0;0.0;87.0;0.0;FALSE;AS_NEW
6233919;8370;Fland Occidentale;Flandre;0;APARTMENT;329000.0;2;-1;FALSE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;0.0;0.0;0.0;FALSE;NOT_SPECIFIED
6307575;8660;Fland Occidentale;Flandre;1;HOUSE;325000.0;2;-1;FALSE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;826.0;826.0;0.0;FALSE;GOOD
6367723;2230;Anvers;Flandre;1;MIXED_USE_BUILDING;1050000.0;0;43;FALSE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;6000.0;6000.0;0.0;FALSE;TO_RENOVATE
6381859;8620;Fland Occidentale;Flandre;0;APARTMENT;289000.0;2;72;TRUE;TRUE;FALSE;TRUE;0.0;FALSE;0.0;0.0;72.0;0.0;FALSE;AS_NEW
6445818;2870;Anvers;Flandre;1;HOUSE;299000.0;3;169;;;;;;;;;0.0;;FALSE;AS_NEW
6472703;8400;Fland Occidentale;Flandre;0;APARTMENT;229000.0;2;-1;TRUE;FALSE;FALSE;TRUE;3.0;FALSE;0.0;0.0;80.0;0.0;FALSE;GOOD
6473410;8380;Fland Occidentale;Flandre;0;APARTMENT;169000.0;1;-1;TRUE;FALSE;FALSE;TRUE;0.0;FALSE;0.0;0.0;0.0;0.0;FALSE;AS_NEW
6491771;1640;Brabant Flamand;Flandre;0;APARTMENT;179000.0;2;88;TRUE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;0.0;88.0;0.0;FALSE;GOOD
6493060;8670;Fland Occidentale;Flandre;0;APARTMENT;155000.0;1;45;TRUE;TRUE;FALSE;FALSE;0.0;FALSE;0.0;0.0;4.0;0.0;FALSE;GOOD
